
8.9	0.0357	12.31
12.2	0.0438	15.13
12.3	0.0493	15.69
10.8	0.0499	13.94
12.4	0.0578	15.81
11.4	0.0664	14.64
11.5	0.075	14.76
12.6	0.0841	16.04
12.9	0.0914	15.58
9.2	0.0278	12.06
11.3	0.0281	14.52
9.8	0.0456	11.79
12.2	0.0483	15.57
9.4	0.0289	10.79
10.3	0.0299	12.60
10.4	0.0324	13.47
10.1	0.0175	14.13
10.1	0.0265	13.12
